oem,device, model,rssi correction,tx,calibration confidence
asus,K015,AST21,3,-22,1
asus,terra_cheets,ASUS Chromebook C202SA,3,-22,1
asus,minnie_cheets,ASUS Chromebook Flip C100PA,3,-22,1
asus,bob_cheets,ASUS Chromebook Flip C101PA,3,-22,1
asus,cave_cheets,ASUS Chromebook Flip C302,3,-22,1
asus,ASUS-K00S,ASUS K00S,3,-22,1
asus,K00X,ASUS MeMO Pad 7,3,-22,1
asus,TF300T,ASUS Pad TF300T,3,-22,1
asus,TF700T,ASUS Pad TF700T,3,-22,1
asus,ASUS-T00D,ASUS PadFone X,3,-22,1
asus,ASUS-T00S,ASUS PadFone X mini,3,-22,1
asus,P1801-T,ASUS Tablet P1801-T,3,-22,1
asus,P1802-T,ASUS Tablet P1802-T,3,-22,1
asus,TF300T,ASUS Transformer 300,3,-22,1
asus,TF300T,ASUS Transformer Pad TF300T,3,-22,1
asus,TF300TG,ASUS Transformer Pad TF300TG,3,-22,1
asus,TF300TL,ASUS Transformer Pad TF300TL,3,-22,1
asus,TF502T,ASUS Transformer Pad TF502T,3,-22,1
asus,TF600T,ASUS Transformer Pad TF600T,3,-22,1
asus,TF700KL,ASUS Transformer Pad TF700KL,3,-22,1
asus,TF700T,ASUS Transformer Pad TF700T,3,-22,1
asus,ASUS_Z00D,ASUS ZenFone 2,3,-22,1
asus,ASUS_Z00D,ASUS ZenFone 2E,3,-22,1
asus,anthias,ASUS ZenWatch,3,-22,1
asus,wren,ASUS ZenWatch 2,3,-22,1
asus,sparrow,ASUS ZenWatch 2,3,-22,1
asus,swift,ASUS ZenWatch 3,3,-22,1
asus,ASUS_A001,ASUS_A001,9,-25,3
asus,ASUS_A001D_2,ASUS_A001D,3,-22,1
asus,ASUS_A001D_1,ASUS_A001D,3,-22,1
asus,ASUS_A002_2,ASUS_A002,3,-22,1
asus,ASUS_A002,ASUS_A002,3,-22,1
asus,ASUS_A002_1,ASUS_A002A,3,-22,1
asus,ASUS_A006,ASUS_A006,3,-22,1
asus,ASUS_A007,ASUS_A007,3,-22,1
asus,ASUS_A009,ASUS_A009,3,-22,1
asus,ASUS_I001_1,ASUS_I001D,3,-22,1
asus,ASUS_I01WD,ASUS_I01WD,3,-22,1
asus,ASUS_L001_2,ASUS_L001,3,-22,1
asus,ASUS_L001_1,ASUS_L001,3,-22,1
asus,ASUS_P00I,ASUS_P00I,3,-22,1
asus,ASUS_P00J,ASUS_P00J,3,-22,1
asus,ASUS_T00E,ASUS_T00E,3,-22,1
asus,ASUS_T00F,ASUS_T00F,3,-22,1
asus,ASUS_T00F1,ASUS_T00F,3,-22,1
asus,ASUS_T00G,ASUS_T00G,3,-22,1
asus,ASUS_T00I,ASUS_T00I,3,-22,1
asus,ASUS_T00I,ASUS_T00I-D,3,-22,1
asus,ASUS_T00J1,ASUS_T00J,3,-22,1
asus,ASUS_T00J,ASUS_T00J,3,-22,1
asus,ASUS_T00K,ASUS_T00K,3,-22,1
asus,ASUS_T00N,ASUS_T00N,3,-22,1
asus,ASUS_T00P,ASUS_T00P,3,-22,1
asus,ASUS_T00Q,ASUS_T00Q,3,-22,1
asus,ASUS-T00S,ASUS_T00T,3,-22,1
asus,ASUS_X002,ASUS_X002,3,-22,1
asus,ASUS_X003,ASUS_X003,3,-22,1
asus,ASUS_X005,ASUS_X005,3,-22,1
asus,ASUS_X007D,ASUS_X007D,3,-22,1
asus,ASUS_X008,ASUS_X008D,0,-21,1
asus,ASUS_X008_1,ASUS_X008D,0,-21,1
asus,ASUS_X008,ASUS_X008DA,0,-21,1
asus,ASUS_X008_1,ASUS_X008DA,0,-21,1
asus,ASUS_X008_1,ASUS_X008DB,0,-21,1
asus,ASUS_X008,ASUS_X008DB,0,-21,1
asus,ASUS_X008_1,ASUS_X008DC,0,-21,3
asus,ASUS_X009D_2,ASUS_X009DB,3,-22,1
asus,ASUS_X00AD_2,ASUS_X00AD,3,-22,1
asus,ASUS_X00BD_1,ASUS_X00BD,3,-22,1
asus,ASUS_X00DD,ASUS_X00DD,3,-22,1
asus,ASUS_X00DD,ASUS_X00DDA,3,-22,1
asus,ASUS_X00G_1,ASUS_X00GD,3,-22,1
asus,ASUS_X00HD_4,ASUS_X00HD,3,-22,1
asus,ASUS_X00HD_5,ASUS_X00HD,3,-22,1
asus,ASUS_X00HD_1,ASUS_X00HD,3,-22,1
asus,ASUS_X00HD_3,ASUS_X00HD,3,-22,1
asus,ASUS_X00HD_2,ASUS_X00HD,3,-22,1
asus,ASUS_X00HD_3,ASUS_X00HDA,3,-22,1
asus,ASUS_X00IDC,ASUS_X00ID,3,-22,1
asus,ASUS_X00IDB,ASUS_X00ID,3,-22,1
asus,ASUS_X00ID,ASUS_X00ID,3,-22,1
asus,ASUS_X00LD_1,ASUS_X00LD,3,-22,1
asus,ASUS_X00LD_3,ASUS_X00LDA,3,-22,1
asus,ASUS_X00LD_2,ASUS_X00LDB,3,-22,1
asus,ASUS_X00P_4,ASUS_X00PD,3,-22,1
asus,ASUS_X00P_8,ASUS_X00PD,3,-22,1
asus,ASUS_X00P_1,ASUS_X00PD,3,-22,1
asus,ASUS_X00P_3,ASUS_X00PD,3,-22,1
asus,ASUS_X00P_6,ASUS_X00PD,3,-22,1
asus,ASUS_X00P_2,ASUS_X00PD,3,-22,1
asus,ASUS_X00QD,ASUS_X00QD,3,-22,1
asus,ASUS_X00QD,ASUS_X00QSA,3,-22,1
asus,ASUS_X00R_3,ASUS_X00RD,3,-22,1
asus,ASUS_X00R_6,ASUS_X00RD,3,-22,1
asus,ASUS_X00R_2,ASUS_X00RD,3,-22,1
asus,ASUS_X00R_5,ASUS_X00RD,3,-22,1
asus,ASUS_X00R_1,ASUS_X00RD,3,-22,1
asus,ASUS_X00R_7,ASUS_X00RD,3,-22,1
asus,ASUS_X00T_4,ASUS_X00TD,2,-26,1
asus,ASUS_X00T_2,ASUS_X00TD,2,-26,1
asus,ASUS_X00T_8,ASUS_X00TD,2,-26,1
asus,ASUS_X00T_3,ASUS_X00TD,2,-26,3
asus,ASUS_X00T_6,ASUS_X00TD,2,-26,1
asus,ASUS_X00T_6,ASUS_X00TDB,2,-26,1
asus,ASUS_X00T_8,ASUS_X00TDB,2,-26,1
asus,ASUS_X00T_2,ASUS_X00TDB,2,-26,1
asus,ASUS_X013D_2,ASUS_X013DA,3,-22,1
asus,ASUS_X013D_1,ASUS_X013DA,3,-22,1
asus,ASUS_X013D_2,ASUS_X013DB,3,-22,1
asus,ASUS_X013D_1,ASUS_X013DB,3,-22,1
asus,ASUS_X014D_1,ASUS_X014D,3,-22,1
asus,ASUS_X014D_2,ASUS_X014D,3,-22,1
asus,ASUS_X017D_1,ASUS_X017D,3,-22,1
asus,ASUS_X017D_2,ASUS_X017DA,3,-22,1
asus,ASUS_X018_2,ASUS_X018D,2,-22,1
asus,ASUS_X018_1,ASUS_X018D,2,-22,1
asus,ASUS_X018_4,ASUS_X018D,2,-22,3
asus,ASUS_X01A_1,ASUS_X01AD,3,-22,1
asus,ASUS_X01BD_2,ASUS_X01BDA,2,-25,1
asus,ASUS_X01BD_1,ASUS_X01BDA,2,-25,3
asus,ASUS_X550,ASUS_X550,3,-22,1
asus,ASUS_Z002,ASUS_Z002,3,-22,1
asus,ASUS_Z007,ASUS_Z007,3,-22,1
asus,Z008_1,ASUS_Z008D,3,-22,1
asus,Z00A,ASUS_Z00AD,3,-22,1
asus,Z00A_3,ASUS_Z00AD,3,-22,1
asus,Z00A_1,ASUS_Z00AD,3,-22,1
asus,Z00A,ASUS_Z00ADA,3,-22,1
asus,Z00A_1,ASUS_Z00ADB,3,-22,1
asus,ASUS_Z00E_3,ASUS_Z00ED,3,-22,1
asus,ASUS_Z00E_4,ASUS_Z00ED,3,-22,1
asus,ASUS_Z00E_2,ASUS_Z00ED,3,-22,1
asus,ASUS_Z00E_1,ASUS_Z00ED,3,-22,1
asus,ASUS_Z00E_2,ASUS_Z00EDB,3,-22,1
asus,ASUS_Z00L_63C,ASUS_Z00LD,3,-22,1
asus,ASUS_Z00L_63A,ASUS_Z00LD,3,-22,1
asus,ASUS_Z00L_63,ASUS_Z00LD,3,-22,1
asus,ASUS_Z00L_93,ASUS_Z00LD,3,-22,1
asus,ASUS_Z00L_63,ASUS_Z00LDC,3,-22,1
asus,ASUS_Z00M,ASUS_Z00MD,3,-22,1
asus,ASUS_Z00RD_7,ASUS_Z00RD,3,-22,1
asus,ASUS_Z00RD_5,ASUS_Z00RD,3,-22,1
asus,ASUS_Z00SD,ASUS_Z00SD,3,-22,1
asus,ASUS_Z00T,ASUS_Z00TD,3,-22,1
asus,ASUS_Z00U_1,ASUS_Z00UD,3,-22,1
asus,ASUS_Z00U_2,ASUS_Z00UD,3,-22,1
asus,ASUS_Z00U_1,ASUS_Z00UDA,3,-22,1
asus,ASUS_Z00VD,ASUS_Z00VD,3,-22,1
asus,ASUS_Z00W_63,ASUS_Z00WD,3,-22,1
